Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.076000,-133.595000,270.000000,top
"C2","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.076000,-137.786000,90.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.962000,-130.302000,180.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.038000,-146.177000,180.000000,top
"R1","330Ohm","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.610000,-146.177000,0.000000,top
"R2","10KOhm","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.099000,-141.605000,0.000000,top
"U1","24LC1025","SOIJ-8_5.3x5.3mm_P1.27mm",124.079000,-140.970000,180.000000,top
"U2","24LC1025","SOIJ-8_5.3x5.3mm_P1.27mm",124.079000,-134.620000,180.000000,top
"U3","DS1337_custom","SO-8_5.3x6.2mm_P1.27mm",132.969000,-136.779000,90.000000,top
"U4","ATMEGA328P-AU","TQFP-32_7x7mm",112.268000,-137.033000,0.000000,top
"Y1","32MHz","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering",132.054000,-143.891000,180.000000,top
"Y2","16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",103.505000,-135.691000,270.000000,top
